Step,Date,Market_Return,Agent_Return,Cash_Ratio,Total_Value,Reward
30,2020-05-15,-0.0298,-0.0229,0.07,97709327,-0.0906
40,2020-05-25,-0.0442,-0.0378,0.03,88536510,-0.2495
50,2020-06-04,0.0000,-0.0013,0.10,101480222,-0.0390
60,2020-06-14,-0.0077,-0.0122,0.05,130059499,-0.2112
70,2020-06-24,0.0000,-0.0014,0.13,155145341,-0.0428
80,2020-07-04,0.0392,0.0308,0.19,190853303,0.1380
90,2020-07-14,-0.0103,-0.0171,0.10,219757266,-0.3056
100,2020-07-24,0.0179,0.0198,0.04,240401260,0.2381
110,2020-08-03,-0.0108,0.0032,0.25,236472927,0.3125
120,2020-08-13,0.0000,-0.0011,0.10,222214875,-0.0315
130,2020-08-23,-0.0121,-0.0166,0.25,187029286,-0.2562
140,2020-09-02,0.0000,-0.0013,0.11,186211116,-0.0401
150,2020-09-12,0.0099,0.0057,0.28,178914107,-0.0289
160,2020-09-22,-0.0064,-0.0056,0.12,171638443,-0.0384
170,2020-10-02,0.0210,0.0148,0.08,159709511,0.0243
180,2020-10-12,0.0028,-0.0062,0.04,169761928,-0.2411
190,2020-10-22,0.0000,-0.0009,0.11,147566292,-0.0276
200,2020-11-01,0.0045,0.0035,0.05,137780888,0.0167
210,2020-11-11,0.0000,-0.0008,0.06,133372455,-0.0248
220,2020-11-21,0.0257,0.0089,0.31,145903611,-0.2472
230,2020-12-01,-0.0262,-0.0215,0.09,154286978,-0.1205
240,2020-12-11,-0.0152,-0.0134,0.04,150400583,-0.0969
250,2020-12-21,0.0313,0.0095,0.13,134887089,-0.3422
260,2020-12-31,0.0000,-0.0012,0.10,121025523,-0.0362
270,2021-01-10,-0.0246,-0.0172,0.15,106643772,-0.0231
280,2021-01-20,0.0000,-0.0014,0.25,98363108,-0.0432
290,2021-01-30,0.0006,-0.0071,0.22,107012689,-0.2241
300,2021-02-09,0.0000,-0.0008,0.07,102941970,-0.0232
310,2021-02-19,-0.0028,0.0084,0.26,103854135,0.3057
320,2021-03-01,-0.0052,-0.0034,0.23,96266348,0.0003
330,2021-03-11,0.0000,-0.0009,0.12,96474251,-0.0281
340,2021-03-21,0.0000,-0.0009,0.04,102641439,-0.0276
350,2021-03-31,0.0000,-0.0008,0.17,101428249,-0.0241
360,2021-04-10,-0.0080,-0.0105,0.13,92975080,-0.1536
370,2021-04-20,-0.0125,-0.0152,0.13,91136377,-0.2069
380,2021-04-30,-0.0261,-0.0234,0.18,90106523,-0.1797
390,2021-05-10,0.0251,0.0164,0.27,89614021,-0.0107
400,2021-05-20,0.0000,-0.0008,0.06,85092575,-0.0254
410,2021-05-30,-0.0070,-0.0089,0.26,82997965,-0.1281
420,2021-06-09,0.0000,-0.0008,0.20,84565387,-0.0231
430,2021-06-19,-0.0085,0.0018,0.13,86855464,0.2242
440,2021-06-29,0.0051,0.0127,0.15,94543518,0.2806
450,2021-07-09,-0.0217,-0.0206,0.04,90244440,-0.1846
460,2021-07-19,0.0000,-0.0006,0.20,89722061,-0.0185
470,2021-07-29,0.0000,-0.0013,0.11,88538940,-0.0378
480,2021-08-08,0.0162,0.0127,0.07,90787620,0.0560
490,2021-08-18,0.0000,-0.0010,0.12,96657828,-0.0292
500,2021-08-28,-0.0404,-0.0352,0.10,97130688,-0.2478
510,2021-09-07,0.0201,0.0204,0.03,90597438,0.2093
520,2021-09-17,-0.0334,-0.0333,0.13,83942030,-0.3296
530,2021-09-27,-0.0053,-0.0049,0.18,81098717,-0.0413
540,2021-10-07,0.0000,-0.0009,0.10,83436420,-0.0264
550,2021-10-17,0.0216,0.0114,0.25,78413926,-0.0879
560,2021-10-27,0.0000,-0.0013,0.05,75212357,-0.0377
570,2021-11-06,-0.0118,-0.0159,0.22,76637207,-0.2414
580,2021-11-16,0.0014,-0.0013,0.31,74262172,-0.0667
590,2021-11-26,-0.0338,-0.0347,0.04,70820245,-0.3647
600,2021-12-06,0.0017,0.0006,0.15,70761465,-0.0153
610,2021-12-16,0.0000,-0.0011,0.04,64721239,-0.0330
620,2021-12-26,-0.0003,-0.0028,0.09,70065302,-0.0769
630,2022-01-05,0.0000,-0.0010,0.11,66980901,-0.0289
640,2022-01-15,0.0072,0.0032,0.11,65589089,-0.0493
650,2022-01-25,0.0175,0.0138,0.12,61661045,0.0657
660,2022-02-04,0.0087,0.0083,0.06,66942429,0.0743
670,2022-02-14,0.0000,-0.0010,0.24,64997173,-0.0303
680,2022-02-24,0.0000,-0.0008,0.16,67653342,-0.0231
690,2022-03-06,-0.0120,-0.0093,0.21,68618170,-0.0390
700,2022-03-16,0.0000,-0.0009,0.04,68179280,-0.0256
710,2022-03-26,0.0161,0.0130,0.05,72079500,0.0691
720,2022-04-05,-0.0322,-0.0329,0.07,71703892,-0.3433
730,2022-04-15,-0.0034,-0.0028,0.10,68138788,-0.0171
740,2022-04-25,0.0124,0.0065,0.22,69608724,-0.0541
750,2022-05-05,0.0000,-0.0008,0.23,70533919,-0.0230
760,2022-05-15,0.0058,0.0006,0.03,71391666,-0.0960
770,2022-05-25,0.0000,-0.0010,0.16,68776091,-0.0287
780,2022-06-04,0.0000,-0.0012,0.13,65890882,-0.0354
790,2022-06-14,-0.0034,-0.0044,0.17,65133610,-0.0649
800,2022-06-24,-0.0085,-0.0191,0.07,62949634,-0.4033
810,2022-07-04,0.0034,-0.0004,0.08,61346175,-0.0798
820,2022-07-14,0.0000,-0.0007,0.10,58727488,-0.0224
830,2022-07-24,-0.0221,-0.0175,0.10,56683797,-0.0841
840,2022-08-03,0.0000,-0.0009,0.31,56961844,-0.0262
850,2022-08-13,-0.0071,-0.0082,0.25,59362499,-0.1022
860,2022-08-23,0.0137,0.0107,0.06,59819468,0.0460
870,2022-09-02,-0.0300,-0.0208,0.29,56295114,-0.0235
880,2022-09-12,0.0116,0.0112,0.03,54917901,0.1024
890,2022-09-22,0.0000,-0.0011,0.18,52278603,-0.0345
900,2022-10-02,-0.0071,-0.0076,0.15,50327696,-0.0846
910,2022-10-12,0.0000,-0.0010,0.15,50615063,-0.0286
920,2022-10-22,-0.0047,-0.0050,0.12,48797463,-0.0559
930,2022-11-01,0.0067,0.0047,0.09,48946929,0.0074
940,2022-11-11,-0.0095,-0.0081,0.09,53834767,-0.0525
950,2022-11-21,0.0068,0.0020,0.08,52699378,-0.0776
960,2022-12-01,0.0000,-0.0012,0.21,51907652,-0.0355
970,2022-12-11,0.0309,0.0273,0.04,52775137,0.2006
980,2022-12-21,0.0000,-0.0008,0.19,54566224,-0.0244
990,2022-12-31,0.0017,0.0054,0.13,57043989,0.1271
1000,2023-01-10,-0.0281,-0.0248,0.21,60532837,-0.1825
1010,2023-01-20,-0.0314,-0.0316,0.13,60472890,-0.3201
1020,2023-01-30,0.0131,0.0120,0.04,55402460,0.0975
1030,2023-02-09,0.0000,-0.0004,0.14,54887552,-0.0131
1040,2023-02-19,0.0432,0.0398,0.14,56741637,0.3291
1050,2023-03-01,0.0000,-0.0010,0.25,63251294,-0.0306
1060,2023-03-11,-0.0177,-0.0166,0.22,64044940,-0.1445
1070,2023-03-21,0.0000,-0.0009,0.13,70843898,-0.0259
1080,2023-03-31,0.0000,-0.0013,0.05,75813426,-0.0381
1090,2023-04-10,0.0145,0.0156,0.04,76400338,0.1762
1100,2023-04-20,0.0000,-0.0011,0.10,78890994,-0.0332
1110,2023-04-30,0.0077,0.0090,0.06,82024982,0.1173
1120,2023-05-10,0.0000,-0.0007,0.16,75794970,-0.0196
1130,2023-05-20,0.0251,0.0248,0.04,77223983,0.2440
1140,2023-05-30,-0.0054,-0.0059,0.09,75439144,-0.0685
1150,2023-06-09,-0.0443,-0.0449,0.07,72221409,-0.4617
1160,2023-06-19,0.0107,0.0109,0.05,71030725,0.1126
1170,2023-06-29,0.0000,-0.0005,0.14,69058342,-0.0142
1180,2023-07-09,-0.0156,-0.0119,0.24,66943783,-0.0448
1190,2023-07-19,0.0000,-0.0008,0.08,63323145,-0.0242
1200,2023-07-29,-0.0251,-0.0242,0.07,58913549,-0.2261
1210,2023-08-08,-0.0047,-0.0043,0.19,62170326,-0.0338
1220,2023-08-18,-0.0153,-0.0109,0.37,58699216,-0.0210
1230,2023-08-28,0.0053,0.0015,0.04,64085246,-0.0603
1240,2023-09-07,0.0000,-0.0011,0.14,66413084,-0.0316
1250,2023-09-17,-0.0069,-0.0046,0.17,65641812,-0.0000
1260,2023-09-27,0.0000,-0.0009,0.10,63949247,-0.0275
1270,2023-10-07,-0.0311,-0.0229,0.17,59797486,-0.0630
1280,2023-10-17,-0.0004,-0.0035,0.10,60983386,-0.0963
1290,2023-10-27,-0.0435,-0.0413,0.08,58432372,-0.3681
1300,2023-11-06,0.0191,0.0138,0.18,61921845,0.0317
1310,2023-11-16,0.0000,-0.0013,0.04,59747793,-0.0395
1320,2023-11-26,-0.0067,-0.0041,0.11,58368842,0.0104
1330,2023-12-06,0.0000,-0.0016,0.04,63928399,-0.0469
1340,2023-12-16,0.0000,-0.0012,0.25,62506180,-0.0358
1350,2023-12-26,0.0031,0.0028,0.08,62572031,0.0226
1360,2024-01-05,0.0040,0.0047,0.05,61562497,0.0608
1370,2024-01-15,-0.0024,-0.0030,0.03,61794316,-0.0414
1380,2024-01-25,0.0000,-0.0012,0.15,59012890,-0.0359
1390,2024-02-04,-0.0033,-0.0065,0.04,57020076,-0.1307
1400,2024-02-14,0.0000,-0.0017,0.08,55726200,-0.0500
1410,2024-02-24,0.0000,-0.0010,0.05,53840497,-0.0302
1420,2024-03-05,-0.0004,-0.0003,0.12,56745507,-0.0016
1430,2024-03-15,0.0082,0.0056,0.08,56723458,0.0046
1440,2024-03-25,-0.0041,-0.0055,0.06,59740521,-0.0831
1450,2024-04-04,0.0000,-0.0013,0.28,57881475,-0.0383
1460,2024-04-14,0.0113,0.0099,0.06,56585188,0.0725
1470,2024-04-24,0.0000,-0.0014,0.03,59059653,-0.0424
